store_id,region,product_id,category,total_revenue,revenue_percentage,cumulative_percentage,revenue_rank,abc_classification,management_strategy,total_units_sold,avg_selling_price,avg_inventory_level
S003,East,P0083,Toys,169010.56,2.51,95.58,28,C,BASIC_CONTROL,3273,51.88,145
S003,East,P0171,Electronics,165827.50,2.46,98.04,29,C,BASIC_CONTROL,3183,51.07,140
S003,East,P0129,Furniture,134238.61,1.99,100.03,30,C,BASIC_CONTROL,3217,44.48,133
S003,North,P0126,Clothing,286197.32,4.28,4.28,1,A,TIGHT_CONTROL,5741,49.78,160
S003,North,P0066,Clothing,283391.80,4.24,8.52,2,A,TIGHT_CONTROL,5796,48.99,148
S003,North,P0046,Clothing,281095.15,4.21,12.73,3,A,TIGHT_CONTROL,5639,49.46,162
S003,North,P0187,Clothing,273540.41,4.09,16.82,4,A,TIGHT_CONTROL,4985,54.81,149
S003,North,P0133,Clothing,263636.85,3.94,20.76,5,A,TIGHT_CONTROL,5196,51.82,149
S003,North,P0125,Clothing,258176.38,3.86,24.62,6,A,TIGHT_CONTROL,4816,51.93,163
S003,North,P0083,Toys,255322.71,3.82,28.44,7,A,TIGHT_CONTROL,4512,58.11,148
S003,North,P0178,Clothing,253640.51,3.79,32.23,8,A,TIGHT_CONTROL,5110,49.58,159
S003,North,P0183,Electronics,245126.88,3.67,35.90,9,A,TIGHT_CONTROL,5137,47.65,134
S003,North,P0017,Toys,244574.64,3.66,39.56,10,A,TIGHT_CONTROL,4566,54.25,157
S003,North,P0061,Clothing,243904.07,3.65,43.21,11,A,TIGHT_CONTROL,5160,48.22,159
S003,North,P0096,Toys,243862.32,3.65,46.86,12,A,TIGHT_CONTROL,5039,47.78,147
S003,North,P0069,Clothing,237959.02,3.56,50.42,13,A,TIGHT_CONTROL,4413,52.58,164
S003,North,P0116,Furniture,228517.28,3.42,53.84,14,A,TIGHT_CONTROL,4194,53.27,153
S003,North,P0153,Furniture,227191.49,3.40,57.24,15,A,TIGHT_CONTROL,4803,48.82,144
S003,North,P0094,Groceries,216842.89,3.24,60.48,16,A,TIGHT_CONTROL,4006,51.99,150
S003,North,P0171,Electronics,215466.38,3.22,63.70,17,A,TIGHT_CONTROL,4033,53.92,141
S003,North,P0166,Groceries,215244.64,3.22,66.92,18,A,TIGHT_CONTROL,3977,56.50,141
S003,North,P0067,Furniture,211277.25,3.16,70.08,19,A,TIGHT_CONTROL,3853,55.54,147
S003,North,P0068,Electronics,210414.11,3.15,73.23,20,A,TIGHT_CONTROL,4253,50.97,143
S003,North,P0057,Clothing,199137.86,2.98,76.21,21,A,TIGHT_CONTROL,4454,42.91,153
S003,North,P0079,Furniture,194366.19,2.91,79.12,22,A,TIGHT_CONTROL,3763,49.79,142
S003,North,P0129,Furniture,189382.13,2.83,81.95,23,B,MODERATE_CONTROL,4243,45.27,138
S003,North,P0085,Electronics,187517.25,2.81,84.76,24,B,MODERATE_CONTROL,3566,53.55,144
S003,North,P0175,Electronics,183874.78,2.75,87.51,25,B,MODERATE_CONTROL,3972,45.31,130
S003,North,P0149,Furniture,180440.63,2.70,90.21,26,B,MODERATE_CONTROL,3862,46.99,139
S003,North,P0159,Electronics,174415.08,2.61,92.82,27,B,MODERATE_CONTROL,3589,50.63,141
S003,North,P0070,Electronics,169334.44,2.53,95.35,28,C,BASIC_CONTROL,3432,49.68,153
S003,North,P0031,Electronics,164289.50,2.46,97.81,29,C,BASIC_CONTROL,3500,47.47,130
S003,North,P0016,Clothing,146013.18,2.18,99.99,30,C,BASIC_CONTROL,3261,45.26,152
S003,South,P0096,Toys,262572.69,4.12,4.12,1,A,TIGHT_CONTROL,4678,54.95,144
S003,South,P0187,Clothing,261599.35,4.10,8.22,2,A,TIGHT_CONTROL,4518,53.93,163
S003,South,P0129,Furniture,257664.87,4.04,12.26,3,A,TIGHT_CONTROL,4877,54.18,138
S003,South,P0069,Clothing,255715.90,4.01,16.27,4,A,TIGHT_CONTROL,4795,52.72,156
S003,South,P0057,Clothing,253824.00,3.98,20.25,5,A,TIGHT_CONTROL,5621,45.81,151
S003,South,P0046,Clothing,253000.50,3.97,24.22,6,A,TIGHT_CONTROL,5072,49.74,157
S003,South,P0067,Furniture,248062.90,3.89,28.11,7,A,TIGHT_CONTROL,5108,46.13,142
S003,South,P0175,Electronics,238743.29,3.74,31.85,8,A,TIGHT_CONTROL,4409,55.92,135
S003,South,P0083,Toys,235173.46,3.69,35.54,9,A,TIGHT_CONTROL,4295,54.96,133
S003,South,P0153,Furniture,234264.25,3.67,39.21,10,A,TIGHT_CONTROL,4010,56.55,135
S003,South,P0116,Furniture,226087.74,3.54,42.75,11,A,TIGHT_CONTROL,4142,52.42,154
S003,South,P0085,Electronics,225326.12,3.53,46.28,12,A,TIGHT_CONTROL,4421,50.14,134
S003,South,P0068,Electronics,220262.31,3.45,49.73,13,A,TIGHT_CONTROL,3703,58.12,136
S003,South,P0178,Clothing,215248.12,3.37,53.10,14,A,TIGHT_CONTROL,4783,47.15,163
S003,South,P0066,Clothing,215151.86,3.37,56.47,15,A,TIGHT_CONTROL,4375,49.14,143
S003,South,P0094,Groceries,212485.35,3.33,59.80,16,A,TIGHT_CONTROL,4104,49.00,134
S003,South,P0133,Clothing,210530.96,3.30,63.10,17,A,TIGHT_CONTROL,4494,47.34,160
S003,South,P0149,Furniture,206629.78,3.24,66.34,18,A,TIGHT_CONTROL,4338,47.09,153
S003,South,P0125,Clothing,204408.53,3.20,69.54,19,A,TIGHT_CONTROL,4252,50.34,147
S003,South,P0031,Electronics,191064.98,3.00,72.54,20,A,TIGHT_CONTROL,3907,49.59,135
S003,South,P0079,Furniture,190986.44,2.99,75.53,21,A,TIGHT_CONTROL,3956,50.02,141
S003,South,P0171,Electronics,190351.50,2.98,78.51,22,A,TIGHT_CONTROL,4179,45.02,139
S003,South,P0017,Toys,188975.89,2.96,81.47,23,B,MODERATE_CONTROL,4029,48.28,140
S003,South,P0126,Clothing,183093.22,2.87,84.34,24,B,MODERATE_CONTROL,4465,40.31,163
S003,South,P0061,Clothing,178568.11,2.80,87.14,25,B,MODERATE_CONTROL,3625,49.03,135
S003,South,P0183,Electronics,173752.78,2.72,89.86,26,B,MODERATE_CONTROL,4067,42.44,138
S003,South,P0070,Electronics,168380.21,2.64,92.50,27,B,MODERATE_CONTROL,3280,51.05,129
S003,South,P0166,Groceries,163050.94,2.56,95.06,28,C,BASIC_CONTROL,3328,48.64,153
S003,South,P0016,Clothing,161271.87,2.53,97.59,29,C,BASIC_CONTROL,3490,47.11,148
S003,South,P0159,Electronics,152577.17,2.39,99.98,30,C,BASIC_CONTROL,3064,49.73,140
S003,West,P0166,Groceries,322179.33,4.81,4.81,1,A,TIGHT_CONTROL,6361,50.03,139
S003,West,P0057,Clothing,292918.66,4.38,9.19,2,A,TIGHT_CONTROL,6177,47.73,164
S003,West,P0178,Clothing,274706.60,4.10,13.29,3,A,TIGHT_CONTROL,5195,53.02,156
S003,West,P0016,Clothing,274112.42,4.10,17.39,4,A,TIGHT_CONTROL,5664,47.39,153
S003,West,P0133,Clothing,265389.98,3.96,21.35,5,A,TIGHT_CONTROL,5444,47.83,153
S003,West,P0061,Clothing,251687.27,3.76,25.11,6,A,TIGHT_CONTROL,5399,48.42,163
S003,West,P0125,Clothing,249478.70,3.73,28.84,7,A,TIGHT_CONTROL,4724,52.65,173
S003,West,P0094,Groceries,244721.90,3.66,32.50,8,A,TIGHT_CONTROL,4814,50.08,149
S003,West,P0069,Clothing,244309.19,3.65,36.15,9,A,TIGHT_CONTROL,5510,44.40,156
S003,West,P0066,Clothing,236207.84,3.53,39.68,10,A,TIGHT_CONTROL,4933,48.76,162
S003,West,P0083,Toys,234808.19,3.51,43.19,11,A,TIGHT_CONTROL,4339,51.47,127
S003,West,P0171,Electronics,234547.84,3.50,46.69,12,A,TIGHT_CONTROL,4577,50.65,142
S003,West,P0149,Furniture,234125.65,3.50,50.19,13,A,TIGHT_CONTROL,4777,48.98,141
S003,West,P0126,Clothing,228535.94,3.41,53.60,14,A,TIGHT_CONTROL,4307,52.78,141
S003,West,P0031,Electronics,227111.51,3.39,56.99,15,A,TIGHT_CONTROL,4370,53.29,139
S003,West,P0187,Clothing,226252.37,3.38,60.37,16,A,TIGHT_CONTROL,4048,55.57,144
S003,West,P0153,Furniture,214462.42,3.20,63.57,17,A,TIGHT_CONTROL,4261,50.04,128
S003,West,P0159,Electronics,212121.86,3.17,66.74,18,A,TIGHT_CONTROL,4225,48.59,142
S003,West,P0067,Furniture,203843.04,3.05,69.79,19,A,TIGHT_CONTROL,4128,48.74,140
S003,West,P0068,Electronics,202549.87,3.03,72.82,20,A,TIGHT_CONTROL,4517,46.21,137
S003,West,P0070,Electronics,201276.84,3.01,75.83,21,A,TIGHT_CONTROL,4073,47.18,147
S003,West,P0175,Electronics,200979.72,3.00,78.83,22,A,TIGHT_CONTROL,4163,49.15,138
S003,West,P0129,Furniture,190771.19,2.85,81.68,23,B,MODERATE_CONTROL,4255,44.89,139
S003,West,P0085,Electronics,188811.22,2.82,84.50,24,B,MODERATE_CONTROL,4180,45.04,137
S003,West,P0116,Furniture,187927.99,2.81,87.31,25,B,MODERATE_CONTROL,3547,51.46,146
S003,West,P0096,Toys,185729.60,2.77,90.08,26,B,MODERATE_CONTROL,3702,51.95,144
S003,West,P0046,Clothing,184497.65,2.76,92.84,27,B,MODERATE_CONTROL,4493,41.41,151
S003,West,P0079,Furniture,177632.03,2.65,95.49,28,C,BASIC_CONTROL,3972,45.32,137
S003,West,P0017,Toys,164706.59,2.46,97.95,29,C,BASIC_CONTROL,4132,41.66,142
S003,West,P0183,Electronics,137227.79,2.05,100.00,30,C,BASIC_CONTROL,3049,42.85,145
S004,East,P0116,Furniture,294707.73,4.51,4.51,1,A,TIGHT_CONTROL,5531,51.99,150
S004,East,P0067,Furniture,265430.52,4.06,8.57,2,A,TIGHT_CONTROL,4589,54.97,136
S004,East,P0066,Clothing,264949.83,4.06,12.63,3,A,TIGHT_CONTROL,4624,55.55,170
S004,East,P0166,Groceries,259495.22,3.97,16.60,4,A,TIGHT_CONTROL,4565,57.29,149
S004,East,P0126,Clothing,253318.46,3.88,20.48,5,A,TIGHT_CONTROL,4748,52.62,153
S004,East,P0085,Electronics,238800.21,3.66,24.14,6,A,TIGHT_CONTROL,4396,55.75,138
S004,East,P0187,Clothing,238607.81,3.65,27.79,7,A,TIGHT_CONTROL,4379,54.97,153
S004,East,P0046,Clothing,227422.12,3.48,31.27,8,A,TIGHT_CONTROL,4723,47.32,145
S004,East,P0094,Groceries,226806.92,3.47,34.74,9,A,TIGHT_CONTROL,4454,51.34,136
S004,East,P0125,Clothing,225616.76,3.45,38.19,10,A,TIGHT_CONTROL,4401,51.00,141
S004,East,P0096,Toys,222452.96,3.41,41.60,11,A,TIGHT_CONTROL,4200,53.27,140
S004,East,P0171,Electronics,219745.65,3.36,44.96,12,A,TIGHT_CONTROL,3877,57.01,158
S004,East,P0070,Electronics,219728.14,3.36,48.32,13,A,TIGHT_CONTROL,4742,46.84,138
S004,East,P0079,Furniture,218067.12,3.34,51.66,14,A,TIGHT_CONTROL,4392,49.33,150
S004,East,P0083,Toys,216704.96,3.32,54.98,15,A,TIGHT_CONTROL,4135,51.37,155
S004,East,P0133,Clothing,216458.30,3.31,58.29,16,A,TIGHT_CONTROL,4299,50.93,159
S004,East,P0031,Electronics,214838.46,3.29,61.58,17,A,TIGHT_CONTROL,4465,48.88,136
S004,East,P0016,Clothing,212798.07,3.26,64.84,18,A,TIGHT_CONTROL,4078,52.10,146
S004,East,P0061,Clothing,211413.28,3.24,68.08,19,A,TIGHT_CONTROL,4225,50.62,150
S004,East,P0178,Clothing,211408.43,3.24,71.32,20,A,TIGHT_CONTROL,3984,51.90,149
S004,East,P0159,Electronics,199943.98,3.06,74.38,21,A,TIGHT_CONTROL,3896,49.61,148
S004,East,P0129,Furniture,198858.76,3.04,77.42,22,A,TIGHT_CONTROL,4148,49.57,137
S004,East,P0153,Furniture,197558.18,3.02,80.44,23,B,MODERATE_CONTROL,3688,53.90,136
S004,East,P0017,Toys,197180.26,3.02,83.46,24,B,MODERATE_CONTROL,4205,48.12,143
S004,East,P0057,Clothing,197160.74,3.02,86.48,25,B,MODERATE_CONTROL,4407,46.33,163
S004,East,P0175,Electronics,192513.74,2.95,89.43,26,B,MODERATE_CONTROL,3720,51.59,133
S004,East,P0183,Electronics,191732.70,2.94,92.37,27,B,MODERATE_CONTROL,3998,49.46,145
S004,East,P0069,Clothing,177464.94,2.72,95.09,28,C,BASIC_CONTROL,3648,48.15,155
S004,East,P0149,Furniture,173462.47,2.66,97.75,29,C,BASIC_CONTROL,3625,49.14,135
S004,East,P0068,Electronics,146536.95,2.24,99.99,30,C,BASIC_CONTROL,3335,42.79,136
S004,North,P0069,Clothing,365917.88,5.20,5.20,1,A,TIGHT_CONTROL,6307,56.81,160
S004,North,P0178,Clothing,334322.83,4.75,9.95,2,A,TIGHT_CONTROL,6177,53.15,169
S004,North,P0166,Groceries,333507.87,4.74,14.69,3,A,TIGHT_CONTROL,6376,52.14,159
S004,North,P0061,Clothing,285183.46,4.06,18.75,4,A,TIGHT_CONTROL,5291,55.95,147
S004,North,P0057,Clothing,281442.89,4.00,22.75,5,A,TIGHT_CONTROL,5295,51.69,148
S004,North,P0066,Clothing,279628.13,3.98,26.73,6,A,TIGHT_CONTROL,5342,50.22,157
S004,North,P0129,Furniture,258211.37,3.67,30.40,7,A,TIGHT_CONTROL,4447,57.21,133
S004,North,P0183,Electronics,249922.34,3.55,33.95,8,A,TIGHT_CONTROL,4530,53.55,146
S004,North,P0187,Clothing,246842.78,3.51,37.46,9,A,TIGHT_CONTROL,5108,50.76,159
S004,North,P0068,Electronics,240676.01,3.42,40.88,10,A,TIGHT_CONTROL,4420,53.90,148
S004,North,P0133,Clothing,239033.60,3.40,44.28,11,A,TIGHT_CONTROL,4884,47.52,161
S004,North,P0017,Toys,236660.07,3.37,47.65,12,A,TIGHT_CONTROL,4872,50.00,148
S004,North,P0125,Clothing,235552.44,3.35,51.00,13,A,TIGHT_CONTROL,4456,52.22,165
S004,North,P0079,Furniture,233698.79,3.32,54.32,14,A,TIGHT_CONTROL,5032,43.84,136
S004,North,P0175,Electronics,226668.26,3.22,57.54,15,A,TIGHT_CONTROL,4696,48.24,144
S004,North,P0159,Electronics,226209.74,3.22,60.76,16,A,TIGHT_CONTROL,4036,55.44,134
S004,North,P0149,Furniture,225740.00,3.21,63.97,17,A,TIGHT_CONTROL,4573,48.63,131
S004,North,P0067,Furniture,223772.33,3.18,67.15,18,A,TIGHT_CONTROL,4378,51.72,133
S004,North,P0126,Clothing,222708.21,3.17,70.32,19,A,TIGHT_CONTROL,4283,50.94,150
S004,North,P0046,Clothing,212706.45,3.03,73.35,20,A,TIGHT_CONTROL,4209,48.65,153
S004,North,P0116,Furniture,207210.83,2.95,76.30,21,A,TIGHT_CONTROL,3998,51.18,136
S004,North,P0031,Electronics,202607.61,2.88,79.18,22,A,TIGHT_CONTROL,4263,47.74,134
S004,North,P0016,Clothing,201512.71,2.87,82.05,23,B,MODERATE_CONTROL,3534,56.15,157
S004,North,P0171,Electronics,199178.51,2.83,84.88,24,B,MODERATE_CONTROL,4432,46.62,141
S004,North,P0085,Electronics,194658.86,2.77,87.65,25,B,MODERATE_CONTROL,3973,50.82,145
S004,North,P0153,Furniture,186085.09,2.65,90.30,26,B,MODERATE_CONTROL,3899,45.76,136
S004,North,P0070,Electronics,179588.34,2.55,92.85,27,B,MODERATE_CONTROL,3900,47.18,141
S004,North,P0094,Groceries,178956.25,2.55,95.40,28,C,BASIC_CONTROL,4079,43.05,138
S004,North,P0096,Toys,168254.61,2.39,97.79,29,C,BASIC_CONTROL,3800,44.18,137
S004,North,P0083,Toys,155073.84,2.21,100.00,30,C,BASIC_CONTROL,2813,56.46,138
S004,South,P0133,Clothing,290576.38,4.33,4.33,1,A,TIGHT_CONTROL,5004,57.85,166
S004,South,P0149,Furniture,274808.93,4.09,8.42,2,A,TIGHT_CONTROL,5336,52.62,150
S004,South,P0187,Clothing,270498.93,4.03,12.45,3,A,TIGHT_CONTROL,5542,50.33,169
S004,South,P0046,Clothing,258704.44,3.86,16.31,4,A,TIGHT_CONTROL,4745,54.83,159
S004,South,P0061,Clothing,255848.65,3.81,20.12,5,A,TIGHT_CONTROL,5197,47.84,158
S004,South,P0125,Clothing,248520.03,3.70,23.82,6,A,TIGHT_CONTROL,4651,52.21,166
S004,South,P0068,Electronics,248042.17,3.70,27.52,7,A,TIGHT_CONTROL,4933,51.72,131
S004,South,P0016,Clothing,245797.52,3.66,31.18,8,A,TIGHT_CONTROL,4741,51.72,150
S004,South,P0057,Clothing,243730.16,3.63,34.81,9,A,TIGHT_CONTROL,5570,43.38,149
S004,South,P0094,Groceries,234311.30,3.49,38.30,10,A,TIGHT_CONTROL,4295,54.97,142
S004,South,P0069,Clothing,230967.01,3.44,41.74,11,A,TIGHT_CONTROL,4709,46.60,149
S004,South,P0159,Electronics,230473.16,3.43,45.17,12,A,TIGHT_CONTROL,4698,50.41,142
S004,South,P0066,Clothing,228705.27,3.41,48.58,13,A,TIGHT_CONTROL,4638,50.78,153
S004,South,P0178,Clothing,225949.24,3.37,51.95,14,A,TIGHT_CONTROL,4058,54.26,151
S004,South,P0171,Electronics,224417.24,3.34,55.29,15,A,TIGHT_CONTROL,4197,54.99,143
S004,South,P0096,Toys,223438.70,3.33,58.62,16,A,TIGHT_CONTROL,4051,54.97,141
S004,South,P0153,Furniture,220666.53,3.29,61.91,17,A,TIGHT_CONTROL,4564,49.48,141
S004,South,P0083,Toys,214845.99,3.20,65.11,18,A,TIGHT_CONTROL,4789,44.83,143
S004,South,P0166,Groceries,212777.19,3.17,68.28,19,A,TIGHT_CONTROL,4114,53.91,143
S004,South,P0067,Furniture,210342.12,3.13,71.41,20,A,TIGHT_CONTROL,4100,49.47,145
S004,South,P0079,Furniture,207472.15,3.09,74.50,21,A,TIGHT_CONTROL,4013,50.77,140
S004,South,P0175,Electronics,206054.38,3.07,77.57,22,A,TIGHT_CONTROL,3771,54.53,153
S004,South,P0126,Clothing,203948.84,3.04,80.61,23,B,MODERATE_CONTROL,4557,46.06,146
S004,South,P0031,Electronics,193433.19,2.88,83.49,24,B,MODERATE_CONTROL,3555,55.61,144
S004,South,P0129,Furniture,189211.79,2.82,86.31,25,B,MODERATE_CONTROL,3416,56.05,141
S004,South,P0116,Furniture,187179.46,2.79,89.10,26,B,MODERATE_CONTROL,4182,45.14,147
S004,South,P0085,Electronics,186415.33,2.78,91.88,27,B,MODERATE_CONTROL,4090,43.31,144
S004,South,P0017,Toys,183386.71,2.73,94.61,28,B,MODERATE_CONTROL,4120,45.30,147
S004,South,P0070,Electronics,181944.02,2.71,97.32,29,C,BASIC_CONTROL,3503,51.46,124
S004,South,P0183,Electronics,178381.60,2.66,99.98,30,C,BASIC_CONTROL,3469,52.75,131
S004,West,P0016,Clothing,352151.04,5.43,5.43,1,A,TIGHT_CONTROL,6682,53.03,158
S004,West,P0125,Clothing,311876.62,4.81,10.24,2,A,TIGHT_CONTROL,6529,47.04,168
S004,West,P0046,Clothing,275062.69,4.24,14.48,3,A,TIGHT_CONTROL,5421,51.19,159
S004,West,P0126,Clothing,264089.04,4.07,18.55,4,A,TIGHT_CONTROL,5239,51.78,149
S004,West,P0133,Clothing,262084.01,4.04,22.59,5,A,TIGHT_CONTROL,5220,50.94,152
S004,West,P0083,Toys,260274.95,4.01,26.60,6,A,TIGHT_CONTROL,5193,50.10,138
S004,West,P0066,Clothing,256152.35,3.95,30.55,7,A,TIGHT_CONTROL,4807,53.89,157
S004,West,P0178,Clothing,244257.83,3.77,34.32,8,A,TIGHT_CONTROL,5348,45.94,151
S004,West,P0175,Electronics,238860.60,3.68,38.00,9,A,TIGHT_CONTROL,4624,49.92,146
S004,West,P0187,Clothing,231699.25,3.57,41.57,10,A,TIGHT_CONTROL,4807,48.57,149
S004,West,P0171,Electronics,222053.93,3.42,44.99,11,A,TIGHT_CONTROL,4073,54.09,136
S004,West,P0153,Furniture,220698.09,3.40,48.39,12,A,TIGHT_CONTROL,4436,49.83,137
S004,West,P0079,Furniture,215692.38,3.33,51.72,13,A,TIGHT_CONTROL,4027,53.37,141
S004,West,P0094,Groceries,214287.08,3.30,55.02,14,A,TIGHT_CONTROL,4126,53.29,153
S004,West,P0183,Electronics,214046.89,3.30,58.32,15,A,TIGHT_CONTROL,3961,52.54,134
S004,West,P0061,Clothing,211081.88,3.26,61.58,16,A,TIGHT_CONTROL,3967,52.14,161
S004,West,P0085,Electronics,207862.77,3.21,64.79,17,A,TIGHT_CONTROL,3807,56.36,135
S004,West,P0129,Furniture,205062.32,3.16,67.95,18,A,TIGHT_CONTROL,4281,48.34,138
S004,West,P0096,Toys,194768.14,3.00,70.95,19,A,TIGHT_CONTROL,4319,46.43,143
S004,West,P0069,Clothing,194382.87,3.00,73.95,20,A,TIGHT_CONTROL,4334,45.96,147
S004,West,P0070,Electronics,182381.93,2.81,76.76,21,A,TIGHT_CONTROL,3394,57.28,133
S004,West,P0057,Clothing,180664.56,2.79,79.55,22,A,TIGHT_CONTROL,4129,41.83,150
S004,West,P0017,Toys,179234.22,2.76,82.31,23,B,MODERATE_CONTROL,3741,46.86,138
S004,West,P0166,Groceries,174070.01,2.68,84.99,24,B,MODERATE_CONTROL,3369,53.49,150
S004,West,P0031,Electronics,170564.53,2.63,87.62,25,B,MODERATE_CONTROL,3699,46.98,137
S004,West,P0116,Furniture,168048.92,2.59,90.21,26,B,MODERATE_CONTROL,3660,47.10,143
S004,West,P0067,Furniture,160957.25,2.48,92.69,27,B,MODERATE_CONTROL,3558,45.81,142
S004,West,P0149,Furniture,158509.50,2.44,95.13,28,C,BASIC_CONTROL,3217,49.34,137
S004,West,P0068,Electronics,157893.72,2.43,97.56,29,C,BASIC_CONTROL,3172,50.57,141
S004,West,P0159,Electronics,155785.51,2.40,99.96,30,C,BASIC_CONTROL,3599,43.55,118
S005,East,P0178,Clothing,341709.00,4.92,4.92,1,A,TIGHT_CONTROL,6129,55.62,166
S005,East,P0061,Clothing,299440.54,4.31,9.23,2,A,TIGHT_CONTROL,5756,51.92,164
S005,East,P0046,Clothing,292637.92,4.22,13.45,3,A,TIGHT_CONTROL,5190,56.17,145
S005,East,P0125,Clothing,278421.83,4.01,17.46,4,A,TIGHT_CONTROL,4992,52.95,161
S005,East,P0079,Furniture,278173.09,4.01,21.47,5,A,TIGHT_CONTROL,5081,55.30,148
S005,East,P0066,Clothing,272844.61,3.93,25.40,6,A,TIGHT_CONTROL,5872,45.76,169
S005,East,P0149,Furniture,272319.79,3.92,29.32,7,A,TIGHT_CONTROL,5220,51.61,156
S005,East,P0133,Clothing,268368.93,3.87,33.19,8,A,TIGHT_CONTROL,5225,50.99,157
S005,East,P0057,Clothing,259053.86,3.73,36.92,9,A,TIGHT_CONTROL,5736,45.55,157
S005,East,P0094,Groceries,256378.00,3.69,40.61,10,A,TIGHT_CONTROL,5373,50.12,149
S005,East,P0126,Clothing,255939.88,3.69,44.30,11,A,TIGHT_CONTROL,4423,57.13,157
S005,East,P0129,Furniture,252325.17,3.64,47.94,12,A,TIGHT_CONTROL,4477,57.45,150
S005,East,P0068,Electronics,249207.10,3.59,51.53,13,A,TIGHT_CONTROL,3952,62.84,134
S005,East,P0153,Furniture,241112.72,3.47,55.00,14,A,TIGHT_CONTROL,4048,58.38,144
S005,East,P0166,Groceries,233712.28,3.37,58.37,15,A,TIGHT_CONTROL,4288,54.69,158
S005,East,P0187,Clothing,230766.67,3.32,61.69,16,A,TIGHT_CONTROL,4115,52.09,158
S005,East,P0016,Clothing,226898.60,3.27,64.96,17,A,TIGHT_CONTROL,4225,49.71,174
S005,East,P0116,Furniture,219774.53,3.17,68.13,18,A,TIGHT_CONTROL,4642,48.52,149
S005,East,P0096,Toys,218416.61,3.15,71.28,19,A,TIGHT_CONTROL,4596,46.72,151
S005,East,P0069,Clothing,212391.59,3.06,74.34,20,A,TIGHT_CONTROL,3949,51.68,141
S005,East,P0083,Toys,199876.53,2.88,77.22,21,A,TIGHT_CONTROL,3955,49.89,157
S005,East,P0085,Electronics,193392.81,2.79,80.01,22,B,MODERATE_CONTROL,3896,50.85,147
S005,East,P0171,Electronics,185196.49,2.67,82.68,23,B,MODERATE_CONTROL,3407,54.17,130
S005,East,P0067,Furniture,178417.69,2.57,85.25,24,B,MODERATE_CONTROL,4030,42.72,135
S005,East,P0070,Electronics,177826.30,2.56,87.81,25,B,MODERATE_CONTROL,3865,45.26,137
S005,East,P0031,Electronics,177593.56,2.56,90.37,26,B,MODERATE_CONTROL,3340,53.73,134
S005,East,P0159,Electronics,177235.89,2.55,92.92,27,B,MODERATE_CONTROL,3628,48.27,138
S005,East,P0017,Toys,169810.32,2.45,95.37,28,C,BASIC_CONTROL,3760,41.96,143
S005,East,P0175,Electronics,163659.19,2.36,97.73,29,C,BASIC_CONTROL,3407,47.45,131
S005,East,P0183,Electronics,158475.24,2.28,100.01,30,C,BASIC_CONTROL,3194,49.30,126
S005,North,P0166,Groceries,314040.89,4.38,4.38,1,A,TIGHT_CONTROL,5779,52.07,135
S005,North,P0016,Clothing,305061.41,4.25,8.63,2,A,TIGHT_CONTROL,6080,52.00,153
S005,North,P0129,Furniture,275637.42,3.84,12.47,3,A,TIGHT_CONTROL,4819,54.86,151
S005,North,P0171,Electronics,268770.52,3.75,16.22,4,A,TIGHT_CONTROL,5146,52.54,137
S005,North,P0061,Clothing,265284.74,3.70,19.92,5,A,TIGHT_CONTROL,5548,46.68,162
S005,North,P0069,Clothing,264131.81,3.68,23.60,6,A,TIGHT_CONTROL,5041,51.12,167
S005,North,P0116,Furniture,255705.71,3.56,27.16,7,A,TIGHT_CONTROL,5036,50.81,145
S005,North,P0083,Toys,254367.35,3.55,30.71,8,A,TIGHT_CONTROL,4914,52.26,143
S005,North,P0079,Furniture,251741.46,3.51,34.22,9,A,TIGHT_CONTROL,4972,50.69,147
S005,North,P0133,Clothing,251338.97,3.50,37.72,10,A,TIGHT_CONTROL,4478,55.46,162
S005,North,P0070,Electronics,248934.19,3.47,41.19,11,A,TIGHT_CONTROL,4501,56.09,145
S005,North,P0085,Electronics,245308.71,3.42,44.61,12,A,TIGHT_CONTROL,4451,55.30,134
S005,North,P0126,Clothing,244543.11,3.41,48.02,13,A,TIGHT_CONTROL,4374,55.66,151
S005,North,P0125,Clothing,244534.07,3.41,51.43,14,A,TIGHT_CONTROL,4711,52.42,152
S005,North,P0094,Groceries,237113.44,3.31,54.74,15,A,TIGHT_CONTROL,4498,51.44,151
S005,North,P0187,Clothing,227662.74,3.17,57.91,16,A,TIGHT_CONTROL,4487,51.63,164
S005,North,P0017,Toys,227635.25,3.17,61.08,17,A,TIGHT_CONTROL,4595,48.42,143
S005,North,P0183,Electronics,227556.00,3.17,64.25,18,A,TIGHT_CONTROL,4109,55.06,140
S005,North,P0153,Furniture,221280.32,3.08,67.33,19,A,TIGHT_CONTROL,4793,45.24,142
S005,North,P0057,Clothing,221124.62,3.08,70.41,20,A,TIGHT_CONTROL,4257,52.71,148
S005,North,P0067,Furniture,220609.16,3.08,73.49,21,A,TIGHT_CONTROL,4237,52.18,147
S005,North,P0066,Clothing,220320.90,3.07,76.56,22,A,TIGHT_CONTROL,4419,48.52,148
S005,North,P0149,Furniture,217331.52,3.03,79.59,23,A,TIGHT_CONTROL,4267,52.22,142
S005,North,P0175,Electronics,216395.72,3.02,82.61,24,B,MODERATE_CONTROL,4847,44.72,140
S005,North,P0031,Electronics,214243.78,2.99,85.60,25,B,MODERATE_CONTROL,4007,53.80,132
